,receipe,nutricional,ingredients
10,Rainbow salad,"Each 134g serving contains (excludes serving suggestion)
KCal
112
Carbs
19.0g
Fibre
5.0g
Protein
3.6g
Fat
1.4g
Saturates
0.2g
Sugars
7.7g
Salt
0.2g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 sweet potatoes, peeled and cut into 3 large chunks
1 carrot, peeled and cut into 3 large chunks
150g bunch asparagus, tough stalks trimmed
50g frozen broad beans
50g frozen peas
For the dressing:
150g spring onions, trimmed and finely chopped
8-10 cornichons (baby gherkins) finely chopped
2 heaped tbsp 0% fat Greek-style yogurt
1 tbsp light mayonnaise
1 heaped tsp Dijon mustard
good pinch pepper"
11,Raspberry frozen yogurt,"Each 100g serving contains (excludes serving suggestion)
KCal
57
Carbs
4.0g
Fibre
1.2g
Protein
6.7g
Fat
1.4g
Saturates
0.8g
Sugars
3.9g
Salt
0.05g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
300g fresh raspberries
500g Greek yogurt
50g caster sugar"
12,Quinoa stuffed butternut squash,"Each 414g serving contains (excludes serving suggestion)
KCal
331
Carbs
48.5g
Fibre
11.7g
Protein
12.1g
Fat
7.8g
Saturates
0.9g
Sugars
19.8g
Salt
0.1g
Fruit/Veg Portion
4
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 small butternut squash, de-seeded (500g)
70g quinoa
150ml boiling water
1 tsp rapeseed oil
1 onion, finely chopped
half red pepper, finely chopped
1 heaped tsp cumin
3 cloves garlic, crushed
pinch chilli flakes
1 tbsp pumpkin seeds
6 cherry tomatoes, halved
6 sprigs fresh rosemary"
13,Quick fruit bread,"Each 52g serving contains (excludes serving suggestion)
KCal
98
Carbs
19.0g
Fibre
2.4g
Protein
2.7g
Fat
0.8g
Saturates
0.1g
Sugars
7.3g
Salt
0.3g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp sunflower oil
75g raisins
1 heaped tsp ground cinnamon
1 banana (approx. 100g peeled)
4 tbsp low-fat natural yogurt
175g wholemeal flour
1 tsp bicarbonate of soda"
14,"Quark, garlic, roast red pepper and onion dip","Each 275g serving contains (excludes serving suggestion)
KCal
112
Carbs
13.3g
Fibre
5.7g
Protein
7.3g
Fat
2.0g
Saturates
0.2g
Sugars
11.7g
Salt
0.09g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp rapeseed oil
2 red peppers, (240g) deseeded and quartered
2 large red onions (300g), cut into wedges
1 tsp Ras El Hanout
good grind pepper
1 x 150g pack of Quark 0% fat cream cheese
10g chives, chopped
1 stick celery, cut into batons
half bulb fennel, cut into batons
1 green pepper, cut into batons
1 large carrot, cut into batons
6 radishes, cut into rings"
15,Quick chicken korma,"Each 334g serving contains (excludes serving suggestion)
KCal
363
Carbs
17.8g
Fibre
3.4g
Protein
44.4g
Fat
12.0g
Saturates
1.9g
Sugars
15.2g
Salt
1.08g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp rapeseed oil
1 onion, chopped
2 tbsp korma curry paste
1 x 200g can chopped tomatoes
2 medium chicken breasts, chopped
1 tbsp ground almonds
150g carton natural low-fat yogurt
1 tsp toasted flaked almonds, to garnish
basmati rice, to serve"
16,Prawn noodles,"Each 358g serving contains (excludes serving suggestion)
KCal
186
Carbs
25.1g
Fibre
5.0g
Protein
12.2g
Fat
3.0g
Saturates
0.4g
Sugars
7.8g
Salt
0.43g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
250g broccoli, broken into florets
2 tsp rapeseed oil
6 spring onions, cut into rings
1 red pepper, sliced
2cm ginger root, grated
1 small red chilli, finely chopped
3 cloves garlic, crushed
120g pack raw king prawns
100ml water
250g courgette spaghetti
300g ready-to-use rice noodles
110g baby leaf spinach
grated zest and juice 1 lime
2 tsp reduced-salt soy sauce"
17,Prawn and vegetable tempura,"Each 138g serving contains (excludes serving suggestion)
KCal
180
Carbs
18.2g
Fibre
2.3g
Protein
9.5g
Fat
7.2g
Saturates
0.8g
Sugars
1.9g
Salt
0.19g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 egg yolk
125g plain flour, sifted
12 raw tiger prawns, shelled
450g mixed vegetables
oil, for deep frying"
18,Power porridge,"Each 341g serving contains (excludes serving suggestion)
KCal
290
Carbs
38.1g
Fibre
5.4g
Protein
10.5g
Fat
9.7g
Saturates
1.2g
Sugars
7.0g
Salt
0.06g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
30g rolled oats
30g buckwheat flakes
30g quinoa flakes
400ml water
1–2 tsp granulated sweetener, if desired
160g frozen mixed berries, defrosted
10g sunflower seeds, toasted
10g flaked almonds
10g pumpkin seeds
50ml skimmed milk, to serve (optional)"
19,"Potato, leek and cheese soup","Each 363g serving contains (excludes serving suggestion)
KCal
215
Carbs
33.8g
Fibre
6.1g
Protein
7.0g
Fat
4.4g
Saturates
2.0g
Sugars
4.9g
Salt
0.37g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 large potato (approx. 300g), chopped
1 large leek, sliced (reserve slices to garnish)
600ml low-salt vegetable stock
50g half-fat cream cheese
freshly ground black pepper"
20,Potato pizza,"Each 171g serving contains (excludes serving suggestion)
KCal
357
Carbs
60.4g
Fibre
6.1g
Protein
9.4g
Fat
7.2g
Saturates
1.4g
Sugars
3.6g
Salt
0.26g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
For the base:
100g plain wholemeal flour
150g plain flour
pinch salt
7g sachet easy-blend yeast
1 tbsp semi-skimmed milk
1 tbsp olive oil
For the topping:
250g waxy potatoes, thinly sliced
1 tbsp olive oil
1 onion, sliced
leaves from 1 sprig rosemary
1 tbsp fresh thyme
4 tbsp half-fat crème fraiche
freshly ground black pepper"
21,Potato pancakes,"Each 63g serving contains (excludes serving suggestion)
KCal
78
Carbs
10.2g
Fibre
0.9g
Protein
3.6g
Fat
2.4g
Saturates
0.5g
Sugars
0.3g
Salt
0.12g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
450g floury potatoes, peeled and chopped
3 eggs, beaten
freshly grated nutmeg
50g self-raising flour
2 egg whites
freshly ground black pepper
1 tbsp rapeseed oil, for frying"
22,Potato and lentil curry,"Each 461g serving contains (excludes serving suggestion)
KCal
282
Carbs
52.9g
Fibre
8.4g
Protein
8.4g
Fat
2.2g
Saturates
0.5g
Sugars
8.3g
Salt
1.0g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp sunflower oil
1 onion, chopped
1 tsp mustard seeds
2cm fresh ginger, peeled and grated
1 tsp chilli powder
1 tsp ground coriander
pinch turmeric
6 tbsp fresh coriander, leaves and finely chopped stalks
200g chopped tomatoes
2 tbsp tomato purée
125g yellow lentils, washed and drained
600ml vegetable stock
900g floury potatoes, peeled and cubed
fresh coriander leaves, to serve"
23,Portobello mushroom burgers,"Each 374g serving contains (excludes serving suggestion)
KCal
306
Carbs
32.8g
Fibre
9.1g
Protein
14.8g
Fat
10.9g
Saturates
1.8g
Sugars
8.1g
Salt
0.81g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
4 large portobello mushrooms
2 tsp rapeseed oil
1 onion, finely chopped
300g frozen spinach, defrosted
good grind black pepper
good pinch nutmeg
50g low-fat garlic and herb cream cheese
4 seeded wholemeal rolls
100g lettuce
2 tomatoes, thinly sliced
1 red onion, thinly sliced"
