,receipe,nutricional,ingredients
24,Vegetable satay,"Each 719g serving contains (excludes serving suggestion)
KCal
292
Carbs
32.4g
Fibre
14.1g
Protein
9.6g
Fat
10.6g
Saturates
1.5g
Sugars
23.7g
Salt
0.31g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp rapeseed oil
1 red pepper, cut into 6 wedges
1 green pepper, cut into 6 wedges
1 courgette, cut into chunks
1 aubergine, cut into chunks
2 red onions cut into 6 wedges
1 tsp ground cumin
good pinch black pepper
For the satay sauce:
1 small onion, chopped
2 cloves garlic, crushed
1 chilli, finely chopped
1 heaped tsp cornflour dissolved in 1 tbsp water
1 tbsp peanut butter
1 tsp reduced-salt, gluten-free soy sauce
1 tsp honey
For the side salad:
10cm cucumber, shredded into matchsticks
3 spring onions, shredded into matchsticks
1 tbsp chopped coriander
half lime"
25,Vegetarian shepherd’s pie with sweet potato mash,"Each 342g serving contains (excludes serving suggestion)
KCal
229
Carbs
39.4g
Fibre
8.1g
Protein
6.7g
Fat
3.2g
Saturates
0.6g
Sugars
13.7g
Salt
0.45g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
For the topping:
800g sweet potatoes
1 heaped tsp Dijon mustard
100ml semi-skimmed milk
For the filling:
1 tbsp rapeseed oil
1 large onion, finely chopped
1 carrot, finely chopped
4 mushrooms, finely chopped
good pinch thyme
400g tin chopped tomatoes
400g tin puy lentils
good pinch white pepper
1 vegetable low-salt stock cube, dissolved in 100ml boiling water
1 tbsp reduced-salt soy sauce"
26,Vegetable wrap,"Each 266g serving contains (excludes serving suggestion)
KCal
291
Carbs
39.2g
Fibre
10.6g
Protein
8.7g
Fat
8.7g
Saturates
2.0g
Sugars
9.6g
Salt
0.81g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 large wholemeal tortilla wrap
For the savoury filling:
1 tbsp hummus
1 small carrot, cut into ribbons with a peeler
quarter red onion, thinly sliced
quarter yellow pepper, thickly sliced
small handful alfalfa
handful lettuce, shredded"
27,Vegetable ragu and pasta,"Each 611g serving contains (excludes serving suggestion)
KCal
421
Carbs
69.3g
Fibre
17.1g
Protein
18.4g
Fat
4.0g
Saturates
0.6g
Sugars
14.7g
Salt
0.81g
Fruit/Veg Portion
4
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp rapeseed oil
1 large onion, finely diced
1 pepper, finely diced
1 medium carrot, finely diced
1 courgette, finely diced
100g mushrooms, finely diced
2-4 cloves garlic, crushed
2 heaped tsp dried oregano
1 vegetable stock cube dissolved in 200ml water
2 fresh tomatoes, finely diced
400g tin chopped tomatoes
good grind black pepper
1 tbsp tomato purée
300g wholemeal pasta, eg pappardelle
400g tin green/Puy lentils, drained"
28,Vegetable pizza,"Each 292g serving contains (excludes serving suggestion)
KCal
312
Carbs
40.5g
Fibre
6.0g
Protein
13.4g
Fat
9.4g
Saturates
2.8g
Sugars
9.1g
Salt
0.67g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tbsp olive oil
1 large red onion, halved then sliced
1 red and 1 yellow pepper, deseeded and cut into pieces
100g mushrooms, sliced
1 tsp level dried basil
1 heaped tsp dried oregano
3–4 cloves garlic, crushed
2 good grinds black pepper
4 sundried tomatoes, finely chopped
2–3 fresh tomatoes, chopped
2 large plain naan breads (130g each)
125g ball reduced-fat
mozzarella, thinly sliced
8–10 fresh basil leaves, to serve"
29,Vegetable pakoras,"Each 105g serving contains (excludes serving suggestion)
KCal
106
Carbs
8.9g
Fibre
2.5g
Protein
5.1g
Fat
5.0g
Saturates
0.4g
Sugars
3.0g
Salt
0.17g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
For the vegetables:
1 red pepper, chopped into chunks
1 courgette, chopped into batons
1 red onion, chopped into wedges
200g cauliflower, in florets
For the dip:
50g fresh coriander, finely chopped
1 tsp cumin seeds, lightly crushed
150g 0% fat natural yogurt
For the batter:
100g gram flour
1 tsp ground coriander
1 tsp ground turmeric
1 tsp garam masala
1 tsp ground cumin
1 green chilli, finely chopped
half tsp bicarbonate soda
100ml water
400ml rapeseed oil"
30,Vegetable moussaka,"Each 245g serving contains (excludes serving suggestion)
KCal
168
Carbs
23.7g
Fibre
6.7g
Protein
9.3g
Fat
2.6g
Saturates
1.0g
Sugars
13.8g
Salt
0.26g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 sweet potato (approx. 350g), peeled and cut into 0.5cm-thick slices
1 aubergine, thinly sliced
1 tsp rapeseed oil
2 medium onions, finely chopped
3 cloves garlic, chopped
1 red pepper, finely chopped
1 yellow pepper, finely chopped
1 courgette, finely diced
1 carrot, grated
1x 400g can lentils, drained
400g tin tomatoes
1 tsp oregano
1 tsp thyme
For the topping:
200g 0% fat Greek yogurt
50g half-fat Cheddar, finely grated
1 heaped tsp ground cinnamon"
31,Vegetable chow mein,"Each 338g serving contains (excludes serving suggestion)
KCal
269
Carbs
44.7g
Fibre
7.1g
Protein
10.1g
Fat
3.9g
Saturates
0.4g
Sugars
8.0g
Salt
0.95g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
200g dry egg noodles
3 tsp rapeseed oil
1 onion, thinly sliced
1 red pepper, sliced
125g shiitake mushrooms, sliced
2 cloves garlic, crushed
good pinch chilli flakes (optional)
100g baby corn, halved
3 spring onion, sliced in 2cm pieces
1 heaped tsp Chinese five-spice powder
90g baby pak choi, separate leaves leaving heart intact
1 fresh tomato, finely chopped
120g beansprouts
2 tsp reduced-salt soy sauce"
32,Vegetable chilli,"Each 195g serving contains (excludes serving suggestion)
KCal
129
Carbs
18.3g
Fibre
6.5g
Protein
7.4g
Fat
1.5g
Saturates
0.2g
Sugars
8.8g
Salt
0.14g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp rapeseed oil
2-3 onions, finely chopped
1 red pepper, finely chopped
150g carrots, finely chopped
1 courgette, finely chopped
100g mushrooms, finely chopped
1-2 tsp chilli powder (mild or hot, according to your taste)
1 tsp ground cumin
1 tsp oregano
800g tin chopped tomatoes
400g tin lentils in water
400g tin mixed beans in water
1 tbsp tomato ketchup
1 tsp salt
coriander, to garnish"
33,Vegetable and chickpea tagine,"Each 339g serving contains (excludes serving suggestion)
KCal
215
Carbs
27.7g
Fibre
10.0g
Protein
8.5g
Fat
5.6g
Saturates
0.7g
Sugars
17.8g
Salt
0.17g
Fruit/Veg Portion
4
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tbsp oil
2 cloves garlic, crushed
quarter tsp ground cumin
quarter tsp ground ginger
half tsp chilli powder
450g mixed vegetables cut into bite-sized pieces - one large courgette, two medium carrots and one medium aubergine
100ml vegetable stock
400g tin chickpeas, drained and rinsed
100g (12) dried apricots
400g tin chopped tomatoes
1 tsp harissa paste
2 tbsp fresh coriander, chopped, to garnish
freshly ground black pepper"
34,Vegan stack burger,"Each 553g serving contains (excludes serving suggestion)
KCal
391
Carbs
55.5g
Fibre
15.8g
Protein
16.7g
Fat
7.9g
Saturates
1.3g
Sugars
16.9g
Salt
0.67g
Fruit/Veg Portion
4
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
For the burgers:
400g can mixed beans, drained and mashed
1 sweet potato, peeled, boiled and mashed (250g)
1 onion, finely grated
1 tsp curry paste
2 cloves garlic crushed
2 tsp rapeseed oil, for frying
Chargrilled veggies:
half aubergine, sliced into 4 x 4cm slices
4 Portobello mushrooms, stalks removed
1 courgette, cut into long slices
1 red pepper, quartered
1 yellow pepper, quartered
Salad:
8 little gem lettuce leaves
1 very large tomato, sliced
1 red onion, thinly sliced
4 wholemeal baps, split and lightly toasted (65g each)
Sauce:
4 tsp tahini, mixed with juice 1 lemon and 2 tbsp water"
35,Tzatziki,"Each 119g serving contains (excludes serving suggestion)
KCal
69
Carbs
3.1g
Fibre
0.3g
Protein
7.1g
Fat
3.1g
Saturates
0.4g
Sugars
3.0g
Salt
0.07g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
half cucumber, peeled and grated
250g 0% fat Greek yogurt
2 cloves garlic, crushed
1 tbsp olive oil
1 tbsp chopped fresh mint
freshly ground black pepper"
36,Tuscan bean soup,"Each 396g serving contains (excludes serving suggestion)
KCal
147
Carbs
18.6g
Fibre
7.8g
Protein
7.0g
Fat
3.2g
Saturates
0.2g
Sugars
9.8g
Salt
0.17g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp olive oil
1 onion, chopped
1 yellow pepper, chopped
1 carrot, diced
500ml gluten-free, low-salt vegetable stock
400g tin chopped tomatoes
2 cabbage leaves, chopped
1 heaped tsp oregano
half tsp thyme
400g tin borlotti beans, drained
2–4 cloves garlic, crushed
2 tsp pesto
black pepper, a shaving of cheese, and sprigs of fresh basil, to serve"
37,Turkey koftas,"Each 221g serving contains (excludes serving suggestion)
KCal
155
Carbs
6.6g
Fibre
2.8g
Protein
27.5g
Fat
1.4g
Saturates
0.4g
Sugars
5.3g
Salt
0.18g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
500g minced turkey breast
1 onion, grated
1 red chilli, deseeded and finely chopped
1 tsp ground cumin
1 tsp allspice
1 tbsp fresh parsley, finely chopped
4 cloves garlic, crushed
6 wooden skewers
150g Savoy cabbage, thinly sliced
1 red onion, thinly sliced
2 large tomatoes, thinly sliced
100g cucumber, thinly sliced
1 tbsp fresh parsley leaves
1 tbsp fresh mint leaves
juice half lemon (plus wedges to serve)"
38,Turkey in creamy leek and parsley sauce,"Each 284g serving contains (excludes serving suggestion)
KCal
241
Carbs
7.6g
Fibre
3.0g
Protein
41.6g
Fat
4.2g
Saturates
1.3g
Sugars
3.9g
Salt
0.5g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp rapeseed oil
4 turkey escalopes, sliced
2 leeks, sliced
3 cloves garlic, crushed
good pinch white pepper
1 tsp Dijon mustard
1 tbsp plain flour
100ml skimmed milk
75g extra-light cream cheese
25g parsley, chopped"
39,Turkey burger,"Each 258g serving contains (excludes serving suggestion)
KCal
297
Carbs
34.1g
Fibre
6.0g
Protein
28.7g
Fat
3.8g
Saturates
1.0g
Sugars
6.6g
Salt
0.8g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 slice wholemeal bread
1 egg, beaten
500g turkey breast mince
1 onion, finely grated
2 carrots, finely grated
4-6 cloves garlic, crushed
pinch black pepper
8 wholemeal rolls, split (approx. 60g each)
150g lettuce
4 tomatoes, finely sliced
1 onion, finely sliced"
40,Turkey and mushroom pie,"Each 376g serving contains (excludes serving suggestion)
KCal
270
Carbs
27.0g
Fibre
3.6g
Protein
25.3g
Fat
6.0g
Saturates
0.8g
Sugars
5.8g
Salt
0.57g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp rapeseed oil
2 onions, thinly sliced
320g pack turkey breast, cubed
2 cloves of garlic, sliced
220g mushrooms, sliced
100g button mushrooms, left whole
1 tsp dried thyme
1 tsp Dijon mustard
1 tbsp plain flour
1 low-salt chicken stock cube in 400ml boiling water
3 sheets filo pastry
8 squirts spray oil"
41,Turkey and mushroom mince,"Each 214g serving contains (excludes serving suggestion)
KCal
223
Carbs
11.6g
Fibre
4.2g
Protein
28.2g
Fat
7.2g
Saturates
2.1g
Sugars
7.8g
Salt
0.64g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp sunflower oil
3 onions, finely chopped
3 carrots, finely diced
500g turkey thigh mince
250g mushrooms, sliced
1 stick celery, finely diced
1 heaped tbsp plain flour
1 low-salt chicken stock cube dissolved in 500ml boiling water
good pinch white pepper
2 tsp reduced-salt soy sauce"
42,Turkey and chickpea curry,"Each 495g serving contains (excludes serving suggestion)
KCal
447
Carbs
30.1g
Fibre
10.0g
Protein
42.7g
Fat
15.1g
Saturates
3.1g
Sugars
8.8g
Salt
0.07g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp oil
1 onion, sliced
1 tbsp medium curry paste
300ml chicken stock
200g cooked turkey, chopped
400g tin chickpeas, drained and rinsed
2 tomatoes, chopped
2 tbsp Greek yogurt
coriander, to garnish"
43,Turkey and cranberry pinwheel tortillas,"Each 50g serving contains (excludes serving suggestion)
KCal
90
Carbs
11.8g
Fibre
1.9g
Protein
6.1g
Fat
1.6g
Saturates
0.7g
Sugars
2.7g
Salt
0.24g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
4 wholemeal tortillas (approx. 65g each)
110g sliced cooked turkey
75g low-fat quark
leaves 4 stems fresh thyme
good grind black pepper
25g dried cranberries
4 Little Gem lettuce leaves, halved lengthways
4 thin spring onions, trimmed
half red pepper, sliced in thin strips
cocktail sticks"
44,Trout with citrus and basil sauce,"Each 157g serving contains (excludes serving suggestion)
KCal
166
Carbs
3.8g
Fibre
0.1g
Protein
20.7g
Fat
7.6g
Saturates
2.7g
Sugars
3.3g
Salt
0.29g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 boneless, skinless trout fillets (weighing approx. 100g each)
grated zest and juice 1 orange
2 tbsp basil, torn
2 tbsp half-fat crème fraîche
freshly ground black pepper"
45,Tray baked salmon and vegetables,"Each 349g serving contains (excludes serving suggestion)
KCal
357
Carbs
10.8g
Fibre
6.5g
Protein
30.5g
Fat
19.9g
Saturates
3.8g
Sugars
6.9g
Salt
0.15g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
300g pack green beans
8 spring onions, chopped
150g frozen peas (defrosted)
1 red pepper, thinly sliced
16 cherry tomatoes
4 salmon steaks, skin on and boneless (4 x 125g)
good pinch pepper
3 tbsp water
Juice half lemon
lemon wedges, to serve"
46,Tortillas stuffed with chicken and salad,"Each 469g serving contains (excludes serving suggestion)
KCal
484
Carbs
60.5g
Fibre
17.5g
Protein
33.7g
Fat
8.0g
Saturates
2.9g
Sugars
11.7g
Salt
1.1g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp olive oil
1 small onion, chopped
1 red pepper, sliced
1 boneless, skinless, chicken breast, sliced (150g)
1 x 400g tin red kidney beans, drained and rinsed
1 tbsp half-fat crème fraiche
2 small flour tortillas
1 carrot, peeled and grated
60g mixed salad leaves
freshly ground black pepper"
