,receipe,nutricional,ingredients
10,"Parma ham, beetroot & mozzarella salad","['Each 295g serving contains (excludes serving suggestion)', 'KCal', '237', 'Carbs', '24.0g', 'Fibre', '3.7g', 'Protein', '17.0g', 'Fat', '9.3g', 'Saturates', '3.3g', 'Sugars', '9.8g', 'Salt', '1.6g', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
4 slices Parma ham
250g asparagus tips
100g sourdough, torn into chunks
1tbsp olive oil
1/2tbsp lemon juice
11/2tsp Dijon mustard
180g baby leaf salad
Small handful fresh mint leaves
300g cooked beetroot (not in vinegar), cut into wedges
100g light mozzarella, torn"
11,Blueberry and avocado creamsicles,"['Each 78g serving contains (excludes serving suggestion)', 'KCal', '85', 'Carbs', '9.7g', 'Fibre', '1.7g', 'Protein', '1.8g', 'Fat', '4.0g', 'Saturates', '0.9g', 'Sugars', '9.4g', 'Salt', '0.04g', 'Fruit/Veg Portion', '0', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
2 small avocados (200g), stones removed and flesh scooped out
200g frozen blueberries
10 soft dates, pitted
250ml skimmed milk (or milk of your choice)
2tbsp lime juice"
12,Vegetarian lasagne,"['Each 409g serving contains (excludes serving suggestion)', 'KCal', '357', 'Carbs', '45.1g', 'Fibre', '10.0g', 'Protein', '14.5g', 'Fat', '11.0g', 'Saturates', '5.6g', 'Sugars', '15.4g', 'Salt', '0.34g', 'Fruit/Veg Portion', '3', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
1tbsp olive oil
2 medium-sized onions, peeled and finely chopped
3 garlic cloves, peeled and finely chopped
2tbsp tomato purée
2tbsp baby capers
3 x 400g tins chopped tomatoes
250g white cabbage
2 handfuls of fresh basil, leaves picked and roughly chopped
75g cooked puy lentils
250g half-fat crème fraiche
250g wholegrain lasagne sheets
50g grated half-fat cheddar cheese"
13,Spicy vegetable samosas,"['Each 259g serving contains (excludes serving suggestion)', 'KCal', '205', 'Carbs', '37.2g', 'Fibre', '4.2g', 'Protein', '4.4g', 'Fat', '3.4g', 'Saturates', '0.9g', 'Sugars', '9.5g', 'Salt', '0.33g', 'Fruit/Veg Portion', '2', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
6 mini wholemeal tortilla wraps (approx. 30g each), halved
Spray oil
2tsp cumin seeds
2 onions, finely chopped
2 cloves of garlic, crushed
1 tbsp fresh ginger, grated
1 large sweet potato (approx. 300g), cut into small cubes
750g frozen mixed vegetables
Pinch each of garam masala, turmeric and sesame seeds
Pinch of chilli flakes
Squeeze of lemon juice
1 tbsp fresh coriander, chopped
Plain flour and water, mixed to a glue-like paste"
14,Super soba noodles,"['Each 509g serving contains (excludes serving suggestion)', 'KCal', '400', 'Carbs', '55.7g', 'Fibre', '11.5g', 'Protein', '22.9g', 'Fat', '7.0g', 'Saturates', '1.2g', 'Sugars', '15.0g', 'Salt', '1.16g', 'Fruit/Veg Portion', '3', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
250g soba noodles
320g tofu
Spray oil of your choice (optional)
1 bunch spring onions, cut into pieces
250g mixed mushrooms, sliced
2 mixed peppers (green, red or yellow), sliced lengthways
150g mange tout, sliced lengthways
1 onion, sliced
1/2 shredded cabbage
1tbsp fresh ginger, grated
1 clove of garlic, crushed
Pinch of Chinese five spice
1tsp reduced salt soy sauce
1tbsp ketchup
Pinch chilli flakes (optional)
1tbsp fresh coriander, chopped"
15,Slow-cooked bean chilli,"['Each 500g serving contains (excludes serving suggestion)', 'KCal', '330', 'Carbs', '38.3g', 'Fibre', '18.1g', 'Protein', '24.2g', 'Fat', '4.9g', 'Saturates', '0.7g', 'Sugars', '15.0g', 'Salt', '0.36g', 'Fruit/Veg Portion', '5', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
spray oil of your choice (optional)
2 medium onions, chopped
1 tsp crushed garlic
1/2 tsp ground ginger
300g mixed mushrooms
1-2 peppers (green, red or yellow), chopped
300g Quorn mince
1tbsp balsamic vinegar
80g carrots, cubed
400g can chopped tomatoes
400g can chickpeas in water, drained
400g can kidney beans in water, drained
2 tsp tomato purée
700ml very low-salt vegetable stock
Pinch chilli flakes"
16,Golden Soup,"['Each 290g serving contains (excludes serving suggestion)', 'KCal', '63', 'Carbs', '9.5g', 'Fibre', '3.7g', 'Protein', '2.5g', 'Fat', '0.8g', 'Saturates', '0.1g', 'Sugars', '7.8g', 'Salt', '0.09g', 'Fruit/Veg Portion', '2', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
1 red onion
1 white onion
1 red pepper
2 yellow/orange peppers
2 large or 4 small courgettes
2 tomatoes
pinch dry, mixed herbs
1 heaped tsp nutritional yeast
spray oil (optional)
1 low-salt stock cube (optional)
500ml boiling water"
17,Blueberry yogurt cake with muesli base,"['Each 120g serving contains (excludes serving suggestion)', 'KCal', '148', 'Carbs', '14.6g', 'Fibre', '1.8g', 'Protein', '8.6g', 'Fat', '5.7g', 'Saturates', '1.3g', 'Sugars', '6.0g', 'Salt', '0.21g', 'Fruit/Veg Portion', '0', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
For the base: 150 g/5 oz rolled oats
1 tbsp wholemeal flour
1 tbsp granulated sweetener
4 tbsp sunflower oil
For the yogurt and blueberry topping: 450 g/16 oz blueberries
1/2 lemon, juiced
3 tbsp granulated sweetener
500 g/18 oz 0% fat Greek yogurt
250 g/9 oz 3% fat cream cheese, e. g. Philadelphia lightest soft cheese"
18,Grilled Mediterranean peppers,"['Each 186g serving contains (excludes serving suggestion)', 'KCal', '58', 'Carbs', '7.3g', 'Fibre', '3.4g', 'Protein', '2.0g', 'Fat', '1.6g', 'Saturates', '0.3g', 'Sugars', '6.7g', 'Salt', '0.01g', 'Fruit/Veg Portion', '2', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
3 large red peppers
450 g/16 oz mixed cherry tomatoes, e. g. gold, yellow, and red, halved
1 shallot, finely chopped
4 garlic cloves, finely sliced
2 tbsp basil leaves, finely chopped, plus extra to garnish
2 tsp olive oil
Freshly ground black pepper"
19,"Chicken, squash and coriander pilaf","['Each 400g serving contains (excludes serving suggestion)', 'KCal', '404', 'Carbs', '47.7g', 'Fibre', '3.6g', 'Protein', '32.3g', 'Fat', '8.5g', 'Saturates', '1.1g', 'Sugars', '1.5g', 'Salt', '0.19g', 'Fruit/Veg Portion', '0', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
2 tsp sunflower oil
250 g/9 oz wholegrain rice, rinsed in several changes of water, then drained
2 tsp mild curry powder
1 tsp ground cumin
1 tsp ground coriander
1/2 tsp ground turmeric
750 ml/26 fl oz water
1 yellow or green courgette, thinly sliced
2 large skinless chicken breasts (400g), trimmed of excess fat
2 tbsp flaked almonds
1/2 lemon, juiced
1 handful coriander leaves
Freshly ground black pepper"
20,Mackerel with tomatoes,"['Each 205g serving contains (excludes serving suggestion)', 'KCal', '277', 'Carbs', '3.0g', 'Fibre', '1.2g', 'Protein', '18.8g', 'Fat', '20.8g', 'Saturates', '4.3g', 'Sugars', '2.6g', 'Salt', '0.39g', 'Fruit/Veg Portion', '1', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
4 fresh mackerel fillets, pin-boned (100g each)
1 tbsp olive oil
2 lemons, juiced, plus 1 extra lemon cut into wedges
3 garlic cloves, chopped
5 vine tomatoes, cored, seeded, and diced
1 large handful flat-leaf parsley, roughly chopped
freshly ground black pepper
baguette slices, to serve (optional )"
21,"Sweet potato, chickpea and carrot tagine with couscous","['Each 424g serving contains (excludes serving suggestion)', 'KCal', '348', 'Carbs', '55.4g', 'Fibre', '12.2g', 'Protein', '11.0g', 'Fat', '6.5g', 'Saturates', '0.8g', 'Sugars', '17.6g', 'Salt', '0.58g', 'Fruit/Veg Portion', '3', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
For the tagine: 2 tsp olive oil
1 onion, finely chopped
2 garlic cloves, finely chopped
2 tsp ras-el-hanout, Moroccan spice mix
2 tsp smoked paprika
1/2 tsp ground cinnamon
1 sweet potato, peeled and diced (250g)
4 large carrots, peeled and diced (500g)
200g/7oz can chickpeas, drained and rinsed
500 ml/18 fl oz water
400 g/14 oz canned chopped tomatoes
1 tbsp ground almonds
freshly ground black pepper
To serve: 120 g/6 oz couscous
2 tbsp flat-leaf parsley, chopped"
22,Turkish cauliflower pizza with Quorn and tzatziki,"['Each 478g serving contains (excludes serving suggestion)', 'KCal', '296', 'Carbs', '26.3g', 'Fibre', '11.5g', 'Protein', '24.8g', 'Fat', '7.6g', 'Saturates', '1.9g', 'Sugars', '14.5g', 'Salt', '0.49g', 'Fruit/Veg Portion', '4', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
For the base: 900 g/32 oz cauliflower, prepared into florets
1 small onion, finely chopped
1 medium egg, beaten
40g/3 oz 3% fat cream cheese, e. g. Philadelphia lightest cream cheese or 40g/3 oz low fat natural yogurt
2 tbsp wholemeal flour
1/4 tsp freshly ground black pepper
1 tsp olive oil
For the toppings: 1 tsp olive oil
300 g/12 oz Quorn, meat-free mince
2 tsp smoked paprika
1 tsp ground cumin
1 tsp ground coriander
1/2 tsp dried oregano
1 large cucumber, half grated, half finely diced
175 g/5 oz cherry tomatoes, quartered
2 tbsp flat-leaf parsley, chopped
200 g/7 oz low-fat natural yogurt"
23,Chocolate orange soufflé,"['Each 73g serving contains (excludes serving suggestion)', 'KCal', '101', 'Carbs', '15.3g', 'Fibre', '0.7g', 'Protein', '3.7g', 'Fat', '2.6g', 'Saturates', '1.6g', 'Sugars', '14.7g', 'Salt', '0.11g', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
A little vegetable oil, for greasing
Grated rind and juice of 2 large oranges
75g caster sugar
4 large egg whites, beaten until stiff
25g cocoa powder
2 tablespoons orange juice
Few drops of orange extract (available from all good supermarkets)
4 tbsp half-fat crème fraîche"
24,Roasted beetroot hummus,"['Each 130g serving contains (excludes serving suggestion)', 'KCal', '149', 'Carbs', '13.1g', 'Fibre', '0.0g', 'Protein', '5.9g', 'Fat', '6.9g', 'Saturates', '0.9g', 'Sugars', '6.0g', 'Salt', '0.4g', 'Fruit/Veg Portion', '1', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
3 medium-sized beetroot
2 tsp cumin seeds
2 tbsp extra virgin olive oil
400g tin chickpeas, rinsed and drained
Juice of 1 lemon
Freshly ground black pepper
Toasted pitta bread, to serve (optional)"
25,Pyaaj pakora baked battered onions,"['Each 37g serving contains (excludes serving suggestion)', 'KCal', '66', 'Carbs', '10.8g', 'Fibre', '1.7g', 'Protein', '2.9g', 'Fat', '0.8g', 'Saturates', '0.1g', 'Sugars', '1.5g', 'Salt', '0.02g', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
20 sprays of low-fat cooking spray
8 tbsp gram flour
4 tbsp rice flour
1/2 tsp ground turmeric
1/2 tsp carom seeds
1/2 tsp ground coriander
1/2 tsp chilli powder
2 small onions (250g), sliced"
26,Poached spiced pears,"['Each 200g serving contains (excludes serving suggestion)', 'KCal', '107', 'Carbs', '23.8g', 'Fibre', '4.0g', 'Protein', '0.6g', 'Fat', '0.2g', 'Saturates', '0.0g', 'Sugars', '23.8g', 'Salt', '0.01g', 'Fruit/Veg Portion', '1', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
200ml grape juice
1 cinnamon stick
3 cardamom pods
1 tsp vanilla essence
4 ripe pears, peeled, cores removed and halved"
27,Honey-roasted parsnips and carrots,"['Each 267g serving contains (excludes serving suggestion)', 'KCal', '215', 'Carbs', '23.9g', 'Fibre', '9.3g', 'Protein', '5.6g', 'Fat', '8.4g', 'Saturates', '1.2g', 'Sugars', '16.1g', 'Salt', '0.44g', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
3 parsnips (450g)
4 large carrots (500g)
2 tsp honey
1 tsp rapeseed oil
2 tsp reduced-salt tamari (Japanese soy sauce)
4 fresh thyme sprigs, leaves picked
1 tsp dried oregano
1/2 tsp dried tarragon
1 tsp dried parsley
50g pistachios, roughly chopped
Juice of 1 lemon"
28,Nutty chocolate truffles,"['Each 17g serving contains (excludes serving suggestion)', 'KCal', '62', 'Carbs', '8.0g', 'Fibre', '1.1g', 'Protein', '1.2g', 'Fat', '2.6g', 'Saturates', '0.4g', 'Sugars', '7.2g', 'Salt', '0.01g', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
340g Medjool dates, stones removed
80g raw almonds
25g unsweetened cocoa powder, plus extra for rolling
2 tbsp sunflower oil
1 tsp vanilla extract"
29,Char sui chicken skewers & sweet peppers,"['Each 176g serving contains (excludes serving suggestion)', 'KCal', '124', 'Carbs', '6.3g', 'Fibre', '2.1g', 'Protein', '18.9g', 'Fat', '2.1g', 'Saturates', '0.4g', 'Sugars', '6.1g', 'Salt', '0.3g', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
6 wooden skewers
1 spray oil
2–3 chicken breasts (450g), cut into 24 small cubes
2 heaped tsp Chinese five-spice
2 tsp sesame oil
2 tsp reduced-salt soy sauce
2 tsp runny honey
2 large red peppers, cut into 24
1 large yellow pepper, cut into 12
To garnish:
1 spring onion, sliced
3cm cucumber, halved and sliced
1 tbsp pomegranate seeds (optional)"
30,Salad nicoise,"['Each 251g serving contains (excludes serving suggestion)', 'KCal', '194', 'Carbs', '15.6g', 'Fibre', '3.2g', 'Protein', '18.4g', 'Fat', '5.8g', 'Saturates', '1.2g', 'Sugars', '3.3g', 'Salt', '0.74g', 'Fruit/Veg Portion', '0', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
250g new potatoes, cut into large chunks
100g fine beans, cooked
1 egg, quartered
2 tomatoes, cut into wedges
9 pitted black olives
3 anchovy fillets, halved lengthways
grated rind and juice 1 lemon
2 tsp olive oil
150g piece fresh tuna
freshly ground black pepper"
31,Chunky chips,"['Each 203g serving contains (excludes serving suggestion)', 'KCal', '199', 'Carbs', '37.3g', 'Fibre', '4.0g', 'Protein', '3.9g', 'Fat', '2.9g', 'Saturates', '0.5g', 'Sugars', '1.7g', 'Salt', '0.01g', 'Fruit/Veg Portion', '0', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
900g potatoes, peeled and cut in to chunky chips
1 tbsp olive oil"
32,Tomato ketchup,"['Each 55g serving contains (excludes serving suggestion)', 'KCal', '19', 'Carbs', '3.3g', 'Fibre', '0.8g', 'Protein', '0.9g', 'Fat', '0.1g', 'Saturates', '0.0g', 'Sugars', '2.9g', 'Salt', '0.01g', 'Fruit/Veg Portion', '0', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
1/2 small onion, peeled and very finely chopped
1 garlic clove, peeled and finely chopped
200g chopped tinned tomatoes
2 tsp tomato puree
2 tbsp cider vinegar
half tsp sweetener"
33,Rekha's Shirkhand,"['Each 93g serving contains (excludes serving suggestion)', 'KCal', '87', 'Carbs', '3.7g', 'Fibre', '0.0g', 'Protein', '10.3g', 'Fat', '3.5g', 'Saturates', '0.3g', 'Sugars', '3.5g', 'Salt', '0.08g', 'Fruit/Veg Portion', '0', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
500g 0% fat naturally set yogurt
2 tsp sugar-free sweetener
5 pistachio nuts
5 almonds
5 cardamoms, ground
10 saffron strands
1 tbsp skimmed milk"
34,Tuna balls with tomato sauce,"['Each 380g serving contains (excludes serving suggestion)', 'KCal', '394', 'Carbs', '21.0g', 'Protein', '30.0g', 'Fat', '20.8g', 'Saturates', '3.0g', 'Sugars', '4.7g', 'Salt', '1.7g', 'Fruit/Veg Portion', '1', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
large handful (approx 25g) mixed fresh herbs (eg parsley, mint, oregano, thyme and basil)
1 x 160g tin of tuna in sunflower oil, drain the oil and reserve
25g pine nuts
45g brown breadcrumbs
zest of a lemon
pinch salt and pepper
1 egg, beaten
200g passata
2 wedges of lemon, to serve"
35,Sag Aloo,"['Each 512g serving contains (excludes serving suggestion)', 'KCal', '245', 'Carbs', '3.7g', 'Fibre', '10.6g', 'Protein', '8.0g', 'Fat', '4.2g', 'Saturates', '0.4g', 'Sugars', '9.8g', 'Salt', '0.64g', 'Fruit/Veg Portion', '3', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
2 tsp rapeseed oil
1 onion, finely chopped
1 green pepper, finely chopped
2 large carrots, roughly chopped
1cm piece ginger, peeled and finely chopped
2 large potatoes (approx 600g), roughly chopped
1–2 fresh green chilies, deseeded and finely chopped (½ chilli = mild, 1 = medium, 2 = warm)
bunch fresh coriander, finely chopped
500g fresh spinach
500ml low-salt vegetable stock
1 tsp cumin
1 tsp ground coriander
1 tsp turmeric
1 tsp ground fenugreek
1 tsp smoked paprika
1 tsp garam masala
or, use 1 tbsp Tandoori curry powder"
